Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"Enquiry";"ASD-STAN";"prEN 3660-063";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"78005";"04004835";"Voter";"Aerospace series - Cable outlet accessories for circular and rectangular electrical and optical connectors - Part 063 : Cable outlet, style K, straight, for heat shrinkable boot, shielded, sealed, self locking - Product standard";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170016";""
"FV";"CEN/TC 10";"FprCEN/TS 115-4";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82222";"00010177";"Voter";"Safety of escalators and moving walks - Part 4: Interpretations related to EN 115 family of standards";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170337";""
"FV";"CEN/TC 112";"FprEN 14354";"";"";"Open";"2025-12-25";"2026-02-19";"n/a";"None";"77670";"00112231";"Voter";"Wood-based panels - Wood veneer floor coverings";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176517";""
"Enquiry";"CEN/TC 139";"prEN ISO 11124-7";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82611";"00139853";"Voter";"Preparation of steel substrates before application of paints and related products - Specifications for metallic blast-cleaning abrasives - Part 7: High chromium white cast iron grit (ISO 11124-7:2025)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170237";""
"Enquiry";"CEN/TC 147";"prEN 13000";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"81034";"00147200";"Voter";"Cranes - Mobile cranes";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170037";""
"FV";"CEN/TC 164";"FprEN 1018";"";"";"Open";"2025-12-25";"2026-02-19";"n/a";"None";"76315";"00164756";"Voter";"Chemicals used for treatment of water intended for human consumption - Calcium carbonate";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176516";""
"FV";"CEN/TC 164";"FprEN 1420";"";"";"Open";"2025-12-25";"2026-02-19";"n/a";"None";"78122";"00164764";"Voter";"Influence of organic materials on water intended for human consumption - Determination of odour, flavour, colour and turbidity of water in piping and storage systems";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176460";""
"FV";"CEN/TC 164";"FprEN 15664-1";"";"";"Open";"2025-12-25";"2026-02-19";"n/a";"None";"79090";"00164767";"Voter";"Influence of metallic materials on water intended for human consumption - Dynamic rig test for assessment of metal release - Part 1: Design and operation";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176462";""
"FV";"CEN/TC 164";"FprEN 15848";"";"";"Open";"2025-12-25";"2026-02-19";"n/a";"None";"81091";"00164778";"Voter";"Water conditioning equipment inside buildings - Adjustable chemical dosing systems - Requirements for performance, safety and testing";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=176518";""
"CIB-NWI";"CEN/TC 185";"Draft Decision C12/2025 - Adoption NWI for ISO 898-1";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"Fasteners -- Mechanical properties of fasteners made of carbon steel and alloy steel -- Part : Bolts, screws and studs with specified property classes — Coarse thread and fine pitch thread";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175736";"(revision of EN ISO 898-1:2013)   Members are reminded to nominate an expert if supporting the NWI, as approval of a project requires at least five members to indicate their interest in participating."
"CIB";"CEN/TC 185";"Draft Decision C13/2025 - review or withdraw EN 28839";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"decision whether to review or withdraw EN 28839 Mechanical properties of fasteners — Nonferrous metal bolts, screws, studs and nuts";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175756";"draft proposal of DIN circulated as document N769 and presented during recent plenary meeting; discussion held during the plenary meeting recommended withdrawal as the corresponding ISO standard ISO 8839:1986 was withdrawn by ISO/TC 2 in 2015 as it was technically inaccurate (see minutes N785 page 3.) According to Decision 08/2025 taken by CEN/TC 185 (virtual meeting) on 2025-11-13, CEN/TC 185 is asked to choose one of the following options: Option A: review the standard with a view to revision Option B: withdraw the standard"
"CIB-AdopPWI";"CEN/TC 191";"Decision 25/2025: PWI for revision of EN 13565-1:2019 + A1";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"2-months CIB to create a PWI for the revision of EN 13565-1:2019+A1:2025 ‘Fixed firefighting systems - Foam systems - Part 1: Requirements and test methods for components’";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175896";"This CIB actions:  DECISION 25/2025 taken by CEN/TC 191 on 2025-10-29   Subject: CEN/TC 191 – Creation of PWI for revision of EN 13565-1:2019+A1:2025 (WG2)   CEN/TC 191 agrees, in the light of the SR results and comments (see N2179), to request the Secretary to run a 2-months CIB to create a PWI for the revision of EN 13565-1:2019+A1:2025 ‘Fixed firefighting systems - Foam systems - Part 1: Requirements and test methods for components’.   Notes: The CIB shall systematically be used for the creation of new work items (NWIs) as well as for the activation of preliminary work items (PWIs) into NWIs (2-month ballot). For creating PWIs, a decision can be taken during TC meetings, but this needs to be announced on the draft agenda (distributed 2 months before the meeting). If the New Work Item proposal is intended to be adopted in the active work programme of the TC, the proposal should preferably be accompanied by a first draft. Approval for the creation of NWIs or activation of PWIs is by weighted voting and commitment to participate by 5 or more CEN Members is needed. For a PWI approval is by simple majority and 5 country participation commitment is not required.   The decision was taken by unanimity."
"CIB-ActivPWI";"CEN/TC 191";"Decision 26/2025: Activate PWI 00191404; prEN 14972-18";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"2-months CIB to activate PWI 00191404, prEN 14972-18 'Fixed firefighting systems - Water mist systems - Part 18 - Test protocol for local application involving flammable liquid fires for open nozzle systems'";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175916";"This CIB actions DECISION 26/2025 taken by CEN/TC 191 on 2025-10-29. Commitment to participate by 5 or more CEN Members is needed, so if voting approval please remember to commit to participate as well. IF THIS CRITERION IS NOT MET THE PROPOSAL WILL BE REJECTED. David Hyde Secretary of CEN/TC 191"
"CIB-NWI";"CEN/TC 191";"Decision 27/2025: NWI for EN 14972-21";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"2-months CIB to create an NWI (adopted WI) for EN 14972-21 'Fixed firefighting systems - Water mist systems - Part 21 - Test protocol for residential occupancies for electronically operated targeting nozzles'";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175936";"This CIB actions DECISION 27/2025 taken by CEN/TC 191 on 2025-10-29. Commitment to participate by 5 or more CEN Members is needed, so if voting approval please remember to commit to participate as well. IF THIS CRITERION IS NOT MET THE PROPOSAL WILL BE REJECTED. David Hyde Secretary of CEN/TC 191"
"CIB-AdopPWI";"CEN/TC 191";"Decision 28/2025: PWI for revision of EN 14972-1:2020 + A1";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"2-months CIB to create a PWI for the revision of EN 14972-1:2020 + A1:2025 ‘Fixed firefighting systems - Water mist systems - Part 1: Design, installation, inspection and maintenance’";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=175976";"This CIB actions:  DECISION 28/2025 taken by CEN/TC 191 on 2025-10-29   Subject: CEN/TC 191 – Creation of PWI for revision of EN 14972-1:2020+A1:2025 (WG10)   CEN/TC 191 requests the Secretary to run a 2-months CIB to create a PWI for the revision of EN 14972-1:2020+A1:2025 ‘Fixed firefighting systems - Water mist systems - Part 1: Design, installation, inspection and maintenance’.   Notes: The CIB shall systematically be used for the creation of new work items (NWIs) as well as for the activation of preliminary work items (PWIs) into NWIs (2-month ballot). For creating PWIs, a decision can be taken during TC meetings, but this needs to be announced on the draft agenda (distributed 2 months before the meeting). If the New Work Item proposal is intended to be adopted in the active work programme of the TC, the proposal should preferably be accompanied by a first draft. Approval for the creation of NWIs or activation of PWIs is by weighted voting and commitment to participate by 5 or more CEN Members is needed. For a PWI approval is by simple majority and 5 country participation commitment is not required.   The decision was taken by unanimity."
"CIB-NWI";"CEN/TC 191";"Decision 32/2025: NWI for prEN XXXX class A wetting agents";"";"";"Open";"2025-12-19";"2026-02-19";"n/a";"None";"";"";"Voter";"prEN XXXX 'Fire extinguishing agents — Class A — Part 1: Wetting agents'";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176116";"CEN/TC 191/WG 3 would like to propose a new work item for class A wetting agents. The intent is for this project to be part 1 of a (currently) two part series, where PWI 00191397 on class A foaming agents will be the part 2. Recommendation 02/2025: CEN/TC 191/WG 3 recommends CEN/TC 191 to register a new work item for Class A wetting agents as part 1 of a new standard series (with WI 00191397 “class A foaming agents” as planned part 2 of this series). Commitment to participate by 5 or more CEN Members is needed, so if voting approval please remember to commit to participate as well. IF THIS CRITERION IS NOT MET THE PROPOSAL WILL BE REJECTED. David Hyde Secretary of CEN/TC 191"
"Enquiry";"CEN/TC 229";"prEN 18262";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"81282";"00229221";"Voter";"Precast concrete products - Product specifications";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170217";""
"Enquiry";"CEN/TC 242";"prEN 13796-1";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"78013";"00242075";"Voter";"Safety requirements for cableway installations designed to carry persons - Carriers - Part 1: Grips, carrier trucks, on-board brakes, cabins, chairs, carriages, maintenance carriers, tow-hangers";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=170017";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 20358";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82514";"00309245";"Voter";"Footwear - Performance requirements for components for footwear - Accessories (ISO/TS 20358:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170319";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 20939";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82509";"00309240";"Voter";"Footwear - Performance requirements for components for footwear - Outsoles (ISO/TS 20939:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170223";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 20952";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82511";"00309242";"Voter";"Footwear - Performance requirements for components for footwear - Uppers (ISO/TS 20952:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170226";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 20953";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82505";"00309238";"Voter";"Footwear - Performance requirements for components for footwear - Lining and insocks (ISO/TS 20953:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170225";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 20955";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82507";"00309239";"Voter";"Footwear - Performance requirements for components for footwear - Insoles (ISO/TS 20955:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170318";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 20995";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82513";"00309244";"Voter";"Footwear - Performance requirements for components for footwear - Stiffeners and toe puffs (ISO/TS 20995:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170320";""
"FV";"CEN/TC 309";"FprCEN ISO/TS 23889";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"82510";"00309241";"Voter";"Footwear - Performance requirements for components for footwear - Heels and top pieces (ISO/TS 23889:2024)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170224";""
"FV";"CEN/TC 352";"FprCEN/TS 18267";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"69932";"00352044";"Voter";"Nanotechnologies - Guidelines for sample preparation, detection, identification and characterization by spICP-MS and EM-EDX of nano-objects in inorganic additives incorporated in food matrices";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170218";""
"FV";"CEN/TC 352";"FprCEN/TS 18269";"";"";"Open";"2025-11-27";"2026-02-19";"n/a";"None";"69865";"00352043";"Voter";"Nanotechnologies - Guidance on the determination of the aggregation and agglomeration state of nano-objects";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=170257";""
